utc_timestamp,DE_load_actual_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual
2018-03-01T00:00:00Z,58596,42625,0
2018-03-01T01:00:00Z,57048,42625,0
2018-03-01T02:00:00Z,56558,42625,0
2018-03-01T03:00:00Z,57529,42625,0
2018-03-01T04:00:00Z,59942,42625,0
2018-03-01T05:00:00Z,67028,42625,1
2018-03-01T06:00:00Z,72091,42625,756
2018-03-01T07:00:00Z,73500,42625,4337
2018-03-01T08:00:00Z,73152,42625,9233
2018-03-01T09:00:00Z,73028,42625,14127
2018-03-01T10:00:00Z,73213,42625,17586
2018-03-01T11:00:00Z,73070,42625,18612
2018-03-01T12:00:00Z,71984,42625,17293
2018-03-01T13:00:00Z,71248,42625,14029
2018-03-01T14:00:00Z,70458,42625,9322
2018-03-01T15:00:00Z,69947,42625,4434
2018-03-01T16:00:00Z,70993,42625,750
2018-03-01T17:00:00Z,73959,42625,1
2018-03-01T18:00:00Z,73886,42625,0
2018-03-01T19:00:00Z,69768,42625,0
2018-03-01T20:00:00Z,66555,42625,0
2018-03-01T21:00:00Z,64672,42625,0
2018-03-01T22:00:00Z,61020,42625,0
2018-03-01T23:00:00Z,59637,42629,0
2018-03-02T00:00:00Z,58180,42629,0
2018-03-02T01:00:00Z,57068,42629,0
2018-03-02T02:00:00Z,56801,42629,0
2018-03-02T03:00:00Z,56981,42629,0
2018-03-02T04:00:00Z,59360,42629,0
2018-03-02T05:00:00Z,66284,42629,2
2018-03-02T06:00:00Z,71411,42629,957
2018-03-02T07:00:00Z,74462,42629,4703
2018-03-02T08:00:00Z,74580,42629,9655
2018-03-02T09:00:00Z,74514,42629,13790
2018-03-02T10:00:00Z,74157,42629,16395
2018-03-02T11:00:00Z,73666,42629,17163
2018-03-02T12:00:00Z,71795,42629,15876
2018-03-02T13:00:00Z,70776,42629,12437
2018-03-02T14:00:00Z,69695,42629,7544
2018-03-02T15:00:00Z,69079,42629,3091
2018-03-02T16:00:00Z,70238,42629,476
2018-03-02T17:00:00Z,72184,42629,1
2018-03-02T18:00:00Z,71986,42629,0
2018-03-02T19:00:00Z,67991,42629,0
2018-03-02T20:00:00Z,64369,42629,0
2018-03-02T21:00:00Z,62559,42629,0
2018-03-02T22:00:00Z,60119,42629,0
2018-03-02T23:00:00Z,56726,42630,0
2018-03-03T00:00:00Z,54823,42630,0
2018-03-03T01:00:00Z,53371,42630,0
2018-03-03T02:00:00Z,52726,42630,0
2018-03-03T03:00:00Z,52647,42630,0
2018-03-03T04:00:00Z,52399,42630,0
2018-03-03T05:00:00Z,52347,42630,4
2018-03-03T06:00:00Z,55018,42630,653
2018-03-03T07:00:00Z,59067,42630,2816
2018-03-03T08:00:00Z,61563,42630,5935
2018-03-03T09:00:00Z,63177,42630,8829
2018-03-03T10:00:00Z,63042,42630,11196
2018-03-03T11:00:00Z,61316,42630,12666
2018-03-03T12:00:00Z,58828,42630,12582
2018-03-03T13:00:00Z,57616,42630,10767
2018-03-03T14:00:00Z,57698,42630,7383
2018-03-03T15:00:00Z,57502,42630,3556
2018-03-03T16:00:00Z,58813,42630,653
2018-03-03T17:00:00Z,61400,42630,2
2018-03-03T18:00:00Z,61207,42630,0
2018-03-03T19:00:00Z,58298,42630,0
2018-03-03T20:00:00Z,56422,42630,0
2018-03-03T21:00:00Z,55674,42630,0
2018-03-03T22:00:00Z,52940,42630,0
2018-03-03T23:00:00Z,50260,42630,0
2018-03-04T00:00:00Z,48070,42630,0
2018-03-04T01:00:00Z,46881,42630,0
2018-03-04T02:00:00Z,46166,42630,0
2018-03-04T03:00:00Z,45878,42630,0
2018-03-04T04:00:00Z,44918,42630,0
2018-03-04T05:00:00Z,43963,42630,4
2018-03-04T06:00:00Z,45529,42630,596
2018-03-04T07:00:00Z,49377,42630,2763
2018-03-04T08:00:00Z,52200,42630,6167
2018-03-04T09:00:00Z,53778,42630,10184
2018-03-04T10:00:00Z,55147,42630,14251
2018-03-04T11:00:00Z,54128,42630,17210
2018-03-04T12:00:00Z,52313,42630,17621
2018-03-04T13:00:00Z,51302,42630,15470
2018-03-04T14:00:00Z,50549,42630,10500
2018-03-04T15:00:00Z,51687,42630,4843
2018-03-04T16:00:00Z,54004,42630,847
2018-03-04T17:00:00Z,58984,42630,1
2018-03-04T18:00:00Z,59328,42630,0
2018-03-04T19:00:00Z,56885,42630,0
2018-03-04T20:00:00Z,55243,42630,0
2018-03-04T21:00:00Z,55163,42630,0
2018-03-04T22:00:00Z,52090,42630,0
2018-03-04T23:00:00Z,48770,42635,0
2018-03-05T00:00:00Z,47620,42635,0
2018-03-05T01:00:00Z,47136,42635,0
2018-03-05T02:00:00Z,47289,42635,0
2018-03-05T03:00:00Z,48879,42635,0
2018-03-05T04:00:00Z,53043,42635,0
2018-03-05T05:00:00Z,61227,42635,3
2018-03-05T06:00:00Z,66430,42635,587
2018-03-05T07:00:00Z,68394,42635,3336
2018-03-05T08:00:00Z,68780,42635,7683
2018-03-05T09:00:00Z,69126,42635,11881
2018-03-05T10:00:00Z,69224,42635,15263
2018-03-05T11:00:00Z,68496,42635,16943
2018-03-05T12:00:00Z,67746,42635,16884
2018-03-05T13:00:00Z,66487,42635,14610
2018-03-05T14:00:00Z,65221,42635,10548
2018-03-05T15:00:00Z,64343,42635,5515
2018-03-05T16:00:00Z,64834,42635,1228
2018-03-05T17:00:00Z,68518,42635,8
2018-03-05T18:00:00Z,68887,42635,0
2018-03-05T19:00:00Z,64804,42635,0
2018-03-05T20:00:00Z,61649,42635,0
2018-03-05T21:00:00Z,59257,42635,0
2018-03-05T22:00:00Z,54890,42635,0
2018-03-05T23:00:00Z,52335,42646,0
2018-03-06T00:00:00Z,50691,42646,0
2018-03-06T01:00:00Z,49804,42646,0
2018-03-06T02:00:00Z,50224,42646,0
2018-03-06T03:00:00Z,51575,42646,0
2018-03-06T04:00:00Z,54870,42646,0
2018-03-06T05:00:00Z,61784,42646,5
2018-03-06T06:00:00Z,65627,42646,858
2018-03-06T07:00:00Z,67550,42646,4026
2018-03-06T08:00:00Z,68116,42646,7847
2018-03-06T09:00:00Z,68316,42646,10804
2018-03-06T10:00:00Z,69407,42646,12178
2018-03-06T11:00:00Z,68830,42646,11947
2018-03-06T12:00:00Z,67684,42646,10657
2018-03-06T13:00:00Z,66731,42646,8498
2018-03-06T14:00:00Z,66605,42646,5857
2018-03-06T15:00:00Z,65675,42646,3021
2018-03-06T16:00:00Z,66232,42646,772
2018-03-06T17:00:00Z,69537,42646,11
2018-03-06T18:00:00Z,69719,42646,0
2018-03-06T19:00:00Z,65560,42646,0
2018-03-06T20:00:00Z,61944,42646,0
2018-03-06T21:00:00Z,59194,42646,0
2018-03-06T22:00:00Z,55116,42646,0
2018-03-06T23:00:00Z,51721,42662,0
2018-03-07T00:00:00Z,49922,42662,0
2018-03-07T01:00:00Z,48572,42662,0
2018-03-07T02:00:00Z,49042,42662,0
2018-03-07T03:00:00Z,50603,42662,0
2018-03-07T04:00:00Z,54226,42662,0
2018-03-07T05:00:00Z,61642,42662,3
2018-03-07T06:00:00Z,66370,42662,478
2018-03-07T07:00:00Z,68976,42662,2237
2018-03-07T08:00:00Z,68920,42662,4703
2018-03-07T09:00:00Z,69071,42662,7513
2018-03-07T10:00:00Z,70242,42662,9492
2018-03-07T11:00:00Z,70525,42662,9667
2018-03-07T12:00:00Z,70235,42662,8231
2018-03-07T13:00:00Z,69401,42662,6482
2018-03-07T14:00:00Z,68523,42662,4756
2018-03-07T15:00:00Z,67741,42662,2657
2018-03-07T16:00:00Z,69013,42662,696
2018-03-07T17:00:00Z,71063,42662,6
2018-03-07T18:00:00Z,71130,42662,0
2018-03-07T19:00:00Z,66722,42662,0
2018-03-07T20:00:00Z,63486,42662,0
2018-03-07T21:00:00Z,61076,42662,0
2018-03-07T22:00:00Z,56516,42662,0
2018-03-07T23:00:00Z,52894,42671,0
2018-03-08T00:00:00Z,50266,42671,0
2018-03-08T01:00:00Z,49309,42671,0
2018-03-08T02:00:00Z,50051,42671,0
2018-03-08T03:00:00Z,51973,42671,0
2018-03-08T04:00:00Z,55282,42671,0
2018-03-08T05:00:00Z,63271,42671,8
2018-03-08T06:00:00Z,67377,42671,932
2018-03-08T07:00:00Z,69533,42671,4160
2018-03-08T08:00:00Z,69771,42671,8581
2018-03-08T09:00:00Z,70870,42671,12615
2018-03-08T10:00:00Z,71733,42671,14584
2018-03-08T11:00:00Z,71018,42671,14614
2018-03-08T12:00:00Z,70533,42671,13074
2018-03-08T13:00:00Z,69494,42671,11415
2018-03-08T14:00:00Z,69051,42671,8161
2018-03-08T15:00:00Z,68132,42671,4187
2018-03-08T16:00:00Z,68253,42671,941
2018-03-08T17:00:00Z,70410,42671,10
2018-03-08T18:00:00Z,71552,42671,0
2018-03-08T19:00:00Z,67533,42671,0
2018-03-08T20:00:00Z,63972,42671,0
2018-03-08T21:00:00Z,61408,42671,0
2018-03-08T22:00:00Z,56912,42671,0
2018-03-08T23:00:00Z,53444,42680,0
2018-03-09T00:00:00Z,51936,42680,0
2018-03-09T01:00:00Z,50854,42680,0
2018-03-09T02:00:00Z,51372,42680,0
2018-03-09T03:00:00Z,52745,42680,0
2018-03-09T04:00:00Z,56184,42680,0
2018-03-09T05:00:00Z,63413,42680,20
2018-03-09T06:00:00Z,68532,42680,1009
2018-03-09T07:00:00Z,70931,42680,3941
2018-03-09T08:00:00Z,70667,42680,6874
2018-03-09T09:00:00Z,71678,42680,9422
2018-03-09T10:00:00Z,71741,42680,11066
2018-03-09T11:00:00Z,70749,42680,11424
2018-03-09T12:00:00Z,69356,42680,10217
2018-03-09T13:00:00Z,67716,42680,8267
2018-03-09T14:00:00Z,67162,42680,5731
2018-03-09T15:00:00Z,66274,42680,3046
2018-03-09T16:00:00Z,66674,42680,730
2018-03-09T17:00:00Z,68858,42680,5
2018-03-09T18:00:00Z,68372,42680,0
2018-03-09T19:00:00Z,63902,42680,0
2018-03-09T20:00:00Z,60383,42680,0
2018-03-09T21:00:00Z,58205,42680,0
2018-03-09T22:00:00Z,54607,42680,0
2018-03-09T23:00:00Z,50650,42681,0
2018-03-10T00:00:00Z,47815,42681,0
2018-03-10T01:00:00Z,46636,42681,0
2018-03-10T02:00:00Z,46365,42681,0
2018-03-10T03:00:00Z,46615,42681,0
2018-03-10T04:00:00Z,46869,42681,0
2018-03-10T05:00:00Z,47876,42681,12
2018-03-10T06:00:00Z,50813,42681,657
2018-03-10T07:00:00Z,54576,42681,2676
2018-03-10T08:00:00Z,57742,42681,5104
2018-03-10T09:00:00Z,59127,42681,7165
2018-03-10T10:00:00Z,59418,42681,8861
2018-03-10T11:00:00Z,58600,42681,9290
2018-03-10T12:00:00Z,57526,42681,8588
2018-03-10T13:00:00Z,55607,42681,6746
2018-03-10T14:00:00Z,54509,42681,4336
2018-03-10T15:00:00Z,54435,42681,2086
2018-03-10T16:00:00Z,55988,42681,506
2018-03-10T17:00:00Z,59241,42681,11
2018-03-10T18:00:00Z,59316,42681,0
2018-03-10T19:00:00Z,54877,42681,0
2018-03-10T20:00:00Z,51932,42681,0
2018-03-10T21:00:00Z,50262,42681,0
2018-03-10T22:00:00Z,46728,42681,0
2018-03-10T23:00:00Z,44010,42681,0
2018-03-11T00:00:00Z,41592,42681,0
2018-03-11T01:00:00Z,40196,42681,0
2018-03-11T02:00:00Z,40057,42681,0
2018-03-11T03:00:00Z,40611,42681,0
2018-03-11T04:00:00Z,40653,42681,0
2018-03-11T05:00:00Z,40358,42681,46
2018-03-11T06:00:00Z,42128,42681,1702
2018-03-11T07:00:00Z,46076,42681,5406
2018-03-11T08:00:00Z,49199,42681,8884
2018-03-11T09:00:00Z,51263,42681,11500
2018-03-11T10:00:00Z,53034,42681,12586
2018-03-11T11:00:00Z,53136,42681,12348
2018-03-11T12:00:00Z,51532,42681,11604
2018-03-11T13:00:00Z,49836,42681,9580
2018-03-11T14:00:00Z,48963,42681,6473
2018-03-11T15:00:00Z,48570,42681,3297
2018-03-11T16:00:00Z,50526,42681,838
2018-03-11T17:00:00Z,54862,42681,23
2018-03-11T18:00:00Z,56469,42681,0
2018-03-11T19:00:00Z,53084,42681,0
2018-03-11T20:00:00Z,51584,42681,0
2018-03-11T21:00:00Z,51530,42681,0
2018-03-11T22:00:00Z,47822,42681,0
2018-03-11T23:00:00Z,44889,42688,0
2018-03-12T00:00:00Z,43278,42688,0
2018-03-12T01:00:00Z,42610,42688,0
2018-03-12T02:00:00Z,43456,42688,0
2018-03-12T03:00:00Z,45528,42688,0
2018-03-12T04:00:00Z,49792,42688,0
2018-03-12T05:00:00Z,58774,42688,15
2018-03-12T06:00:00Z,65099,42688,424
2018-03-12T07:00:00Z,67655,42688,1718
2018-03-12T08:00:00Z,69049,42688,3561
2018-03-12T09:00:00Z,70228,42688,5250
2018-03-12T10:00:00Z,70683,42688,6765
2018-03-12T11:00:00Z,69787,42688,7387
2018-03-12T12:00:00Z,69367,42688,7245
2018-03-12T13:00:00Z,67527,42688,6817
2018-03-12T14:00:00Z,66682,42688,5538
2018-03-12T15:00:00Z,65345,42688,3485
2018-03-12T16:00:00Z,66458,42688,1163
2018-03-12T17:00:00Z,69236,42688,31
2018-03-12T18:00:00Z,69943,42688,0
2018-03-12T19:00:00Z,65286,42688,0
2018-03-12T20:00:00Z,61392,42688,0
2018-03-12T21:00:00Z,58237,42688,0
2018-03-12T22:00:00Z,53876,42688,0
2018-03-12T23:00:00Z,50879,42693,0
2018-03-13T00:00:00Z,49079,42693,0
2018-03-13T01:00:00Z,47866,42693,0
2018-03-13T02:00:00Z,48559,42693,0
2018-03-13T03:00:00Z,50356,42693,0
2018-03-13T04:00:00Z,54199,42693,0
2018-03-13T05:00:00Z,61545,42693,36
2018-03-13T06:00:00Z,66614,42693,1131
2018-03-13T07:00:00Z,69378,42693,3783
2018-03-13T08:00:00Z,70078,42693,6326
2018-03-13T09:00:00Z,71778,42693,7694
2018-03-13T10:00:00Z,72703,42693,7819
2018-03-13T11:00:00Z,71753,42693,7317
2018-03-13T12:00:00Z,70849,42693,6504
2018-03-13T13:00:00Z,69732,42693,5365
2018-03-13T14:00:00Z,69465,42693,3819
2018-03-13T15:00:00Z,68337,42693,1966
2018-03-13T16:00:00Z,68428,42693,565
2018-03-13T17:00:00Z,71091,42693,12
2018-03-13T18:00:00Z,71345,42693,0
2018-03-13T19:00:00Z,66673,42693,0
2018-03-13T20:00:00Z,62973,42693,0
2018-03-13T21:00:00Z,59619,42693,0
2018-03-13T22:00:00Z,54799,42693,0
2018-03-13T23:00:00Z,51576,42704,0
2018-03-14T00:00:00Z,49316,42704,0
2018-03-14T01:00:00Z,48755,42704,0
2018-03-14T02:00:00Z,49356,42704,0
2018-03-14T03:00:00Z,50493,42704,0
2018-03-14T04:00:00Z,53798,42704,0
2018-03-14T05:00:00Z,61490,42704,27
2018-03-14T06:00:00Z,67169,42704,779
2018-03-14T07:00:00Z,69439,42704,2903
2018-03-14T08:00:00Z,69093,42704,5407
2018-03-14T09:00:00Z,69630,42704,7587
2018-03-14T10:00:00Z,70275,42704,8968
2018-03-14T11:00:00Z,69123,42704,10102
2018-03-14T12:00:00Z,68539,42704,10396
2018-03-14T13:00:00Z,67066,42704,9871
2018-03-14T14:00:00Z,66076,42704,8324
2018-03-14T15:00:00Z,65574,42704,5246
2018-03-14T16:00:00Z,66098,42704,1786
2018-03-14T17:00:00Z,67967,42704,58
2018-03-14T18:00:00Z,69451,42704,0
2018-03-14T19:00:00Z,65851,42704,0
2018-03-14T20:00:00Z,61965,42704,0
2018-03-14T21:00:00Z,59334,42704,0
2018-03-14T22:00:00Z,55460,42704,0
2018-03-14T23:00:00Z,52081,42727,0
2018-03-15T00:00:00Z,50545,42727,0
2018-03-15T01:00:00Z,50153,42727,0
2018-03-15T02:00:00Z,50833,42727,0
2018-03-15T03:00:00Z,52137,42727,0
2018-03-15T04:00:00Z,55689,42727,0
2018-03-15T05:00:00Z,62883,42727,87
2018-03-15T06:00:00Z,68366,42727,2098
2018-03-15T07:00:00Z,70450,42727,6400
2018-03-15T08:00:00Z,70499,42727,11134
2018-03-15T09:00:00Z,71289,42727,14872
2018-03-15T10:00:00Z,71920,42727,16805
2018-03-15T11:00:00Z,70809,42727,16757
2018-03-15T12:00:00Z,70421,42727,15323
2018-03-15T13:00:00Z,70067,42727,12379
2018-03-15T14:00:00Z,68897,42727,7863
2018-03-15T15:00:00Z,67763,42727,3766
2018-03-15T16:00:00Z,68279,42727,1074
2018-03-15T17:00:00Z,71027,42727,27
2018-03-15T18:00:00Z,71336,42727,0
2018-03-15T19:00:00Z,67381,42727,0
2018-03-15T20:00:00Z,63642,42727,0
2018-03-15T21:00:00Z,61064,42727,0
2018-03-15T22:00:00Z,56501,42727,0
2018-03-15T23:00:00Z,52725,42733,0
2018-03-16T00:00:00Z,50787,42733,0
2018-03-16T01:00:00Z,49927,42733,0
2018-03-16T02:00:00Z,50360,42733,0
2018-03-16T03:00:00Z,51952,42733,0
2018-03-16T04:00:00Z,55063,42733,0
2018-03-16T05:00:00Z,62370,42733,33
2018-03-16T06:00:00Z,67618,42733,725
2018-03-16T07:00:00Z,70921,42733,2537
2018-03-16T08:00:00Z,71388,42733,4268
2018-03-16T09:00:00Z,71710,42733,5463
2018-03-16T10:00:00Z,72945,42733,6494
2018-03-16T11:00:00Z,72296,42733,6491
2018-03-16T12:00:00Z,70660,42733,6674
2018-03-16T13:00:00Z,69029,42733,6512
2018-03-16T14:00:00Z,68207,42733,5190
2018-03-16T15:00:00Z,67079,42733,3192
2018-03-16T16:00:00Z,67743,42733,1104
2018-03-16T17:00:00Z,69869,42733,42
2018-03-16T18:00:00Z,70460,42733,0
2018-03-16T19:00:00Z,65972,42733,0
2018-03-16T20:00:00Z,62075,42733,0
2018-03-16T21:00:00Z,60547,42733,0
2018-03-16T22:00:00Z,56847,42733,0
2018-03-16T23:00:00Z,53043,42734,0
2018-03-17T00:00:00Z,51311,42734,0
2018-03-17T01:00:00Z,50328,42734,0
2018-03-17T02:00:00Z,50472,42734,0
2018-03-17T03:00:00Z,50993,42734,0
2018-03-17T04:00:00Z,50731,42734,0
2018-03-17T05:00:00Z,51205,42734,64
2018-03-17T06:00:00Z,53997,42734,1038
2018-03-17T07:00:00Z,58406,42734,3017
2018-03-17T08:00:00Z,62005,42734,5034
2018-03-17T09:00:00Z,63670,42734,6640
2018-03-17T10:00:00Z,65006,42734,7498
2018-03-17T11:00:00Z,64152,42734,7939
2018-03-17T12:00:00Z,62860,42734,7520
2018-03-17T13:00:00Z,61093,42734,6357
2018-03-17T14:00:00Z,60267,42734,4522
2018-03-17T15:00:00Z,60440,42734,2406
2018-03-17T16:00:00Z,60788,42734,709
2018-03-17T17:00:00Z,63897,42734,22
2018-03-17T18:00:00Z,63652,42734,0
2018-03-17T19:00:00Z,59752,42734,0
2018-03-17T20:00:00Z,57256,42734,0
2018-03-17T21:00:00Z,56954,42734,0
2018-03-17T22:00:00Z,55228,42734,0
2018-03-17T23:00:00Z,52693,42734,0
2018-03-18T00:00:00Z,50884,42734,0
2018-03-18T01:00:00Z,50078,42734,0
2018-03-18T02:00:00Z,49324,42734,0
2018-03-18T03:00:00Z,49135,42734,0
2018-03-18T04:00:00Z,48405,42734,0
2018-03-18T05:00:00Z,46821,42734,101
2018-03-18T06:00:00Z,48691,42734,1408
2018-03-18T07:00:00Z,52677,42734,4061
2018-03-18T08:00:00Z,56188,42734,7081
2018-03-18T09:00:00Z,58391,42734,9465
2018-03-18T10:00:00Z,59943,42734,11174
2018-03-18T11:00:00Z,58696,42734,12186
2018-03-18T12:00:00Z,56409,42734,12275
2018-03-18T13:00:00Z,54809,42734,10765
2018-03-18T14:00:00Z,54241,42734,7947
2018-03-18T15:00:00Z,54397,42734,4386
2018-03-18T16:00:00Z,56508,42734,1424
2018-03-18T17:00:00Z,60154,42734,60
2018-03-18T18:00:00Z,61409,42734,0
2018-03-18T19:00:00Z,58601,42734,0
2018-03-18T20:00:00Z,56877,42734,0
2018-03-18T21:00:00Z,57048,42734,0
2018-03-18T22:00:00Z,54439,42734,0
2018-03-18T23:00:00Z,51660,42746,0
2018-03-19T00:00:00Z,50349,42746,0
2018-03-19T01:00:00Z,49451,42746,0
2018-03-19T02:00:00Z,49616,42746,0
2018-03-19T03:00:00Z,50917,42746,0
2018-03-19T04:00:00Z,55124,42746,0
2018-03-19T05:00:00Z,62804,42746,175
2018-03-19T06:00:00Z,68050,42746,2359
2018-03-19T07:00:00Z,70174,42746,6620
2018-03-19T08:00:00Z,70974,42746,10869
2018-03-19T09:00:00Z,71799,42746,14133
